unique_id	timestamp	model_name	runtime	trials	dt_range_UTC	best_param	test_rmse	seed
0ce80ca8-1bf8-468b-aceb-115305a4dd22	1615033127	BLUFF1	000:02:56	50	2021-03-06 10:30:00~2018-06-05 06:30:00	{'colsample_bytree': 0.9341526768407138, 'gamma': 5.655475257618935, 'max_depth': 10.0, 'min_child_weight': 6.0, 'n_estimators': 200.0, 'reg_alpha': 30.0, 'reg_lambda': 0.22918266443159113}	6.721978970225784	8812
0160768a-ff8f-484a-aa67-0e871fcfde2b	1615033356	CATHROCK	000:03:49	50	2021-03-06 10:30:00~2018-06-06 00:30:00	{'colsample_bytree': 0.679734794669377, 'gamma': 1.1904751663665378, 'max_depth': 14.0, 'min_child_weight': 9.0, 'n_estimators': 200.0, 'reg_alpha': 60.0, 'reg_lambda': 0.7717597848352059}	7.478799062520762	8812
76b3cb2a-b18a-4c31-a117-cb6d27653841	1615033592	CLEMGPWF	000:03:55	50	2021-03-06 10:30:00~2018-06-07 07:30:00	{'colsample_bytree': 0.9747694498090181, 'gamma': 1.365123519229214, 'max_depth': 15.0, 'min_child_weight': 9.0, 'n_estimators': 150.0, 'reg_alpha': 73.0, 'reg_lambda': 0.5099359948050587}	8.527536152253871	8812
d3ef5d04-4e12-45ac-af23-6c8bea446ba0	1615033855	HALLWF2	000:04:22	50	2021-03-06 10:30:00~2018-06-09 01:30:00	{'colsample_bytree': 0.7720145235474305, 'gamma': 3.4104562906280718, 'max_depth': 14.0, 'min_child_weight': 6.0, 'n_estimators': 200.0, 'reg_alpha': 36.0, 'reg_lambda': 0.44660860219473403}	9.290091325037134	8812
a7ea5306-3e8e-4f14-962c-236a668615ba	1615034066	HDWF2	000:03:30	50	2021-03-06 10:30:00~2018-06-04 03:30:00	{'colsample_bytree': 0.8660326428584164, 'gamma': 2.1143357565749623, 'max_depth': 13.0, 'min_child_weight': 3.0, 'n_estimators': 125.0, 'reg_alpha': 58.0, 'reg_lambda': 0.6284407147758332}	12.332788873841023	8812
e9584d8d-60ba-4484-9f6f-168fecbc9454	1615034255	LKBONNY2	000:03:09	50	2021-03-06 11:30:00~2018-06-10 03:30:00	{'colsample_bytree': 0.874643335706519, 'gamma': 8.226281615749471, 'max_depth': 11.0, 'min_child_weight': 10.0, 'n_estimators': 175.0, 'reg_alpha': 73.0, 'reg_lambda': 0.9771118195548454}	16.623069628831562	8812
4c9cc6fc-84f5-4198-afd4-8304547ca396	1615034508	MTMILLAR	000:04:12	50	2021-03-06 11:30:00~2018-06-11 02:30:00	{'colsample_bytree': 0.994584643962225, 'gamma': 1.065986629430472, 'max_depth': 12.0, 'min_child_weight': 9.0, 'n_estimators': 150.0, 'reg_alpha': 81.0, 'reg_lambda': 0.17178426549215914}	6.91930958592732	8812
2d28e14c-afee-41e3-bb1f-f086a71f49ad	1615034810	NBHWF1	000:05:01	50	2021-03-06 11:30:00~2018-06-12 15:30:00	{'colsample_bytree': 0.9525584174615651, 'gamma': 1.015863863981685, 'max_depth': 14.0, 'min_child_weight': 8.0, 'n_estimators': 125.0, 'reg_alpha': 86.0, 'reg_lambda': 0.8976103084199686}	17.400730441197993	8812
4d240b95-0ed2-47d8-8c06-542cff7aeb4f	1615035034	SNOWNTH1	000:03:43	50	2021-03-06 11:30:00~2018-06-13 02:30:00	{'colsample_bytree': 0.9207815310777264, 'gamma': 5.901788819826599, 'max_depth': 12.0, 'min_child_weight': 3.0, 'n_estimators': 200.0, 'reg_alpha': 142.0, 'reg_lambda': 0.7875009324033673}	17.911769462292305	8812
4222b5a4-8617-4286-b4f0-5eab53f8a417	1615035248	SNOWSTH1	000:03:34	50	2021-03-06 11:30:00~2018-06-14 00:30:00	{'colsample_bytree': 0.8759650061801834, 'gamma': 3.313036450837217, 'max_depth': 15.0, 'min_child_weight': 7.0, 'n_estimators': 175.0, 'reg_alpha': 131.0, 'reg_lambda': 0.19764054708487389}	17.152262291543547	8812
c75eb371-1248-4ddc-9784-e41c22e3faa0	1615035449	STARHLWF	000:03:20	50	2021-03-06 11:30:00~2018-06-15 22:30:00	{'colsample_bytree': 0.8835598122268754, 'gamma': 1.0459779707730978, 'max_depth': 14.0, 'min_child_weight': 9.0, 'n_estimators': 150.0, 'reg_alpha': 20.0, 'reg_lambda': 0.18569818915763614}	3.7104607273804304	8812
7e19cee7-2617-456f-aed6-2cfa9fbd327f	1615035653	WATERLWF	000:03:23	50	2021-03-06 11:30:00~2018-06-16 02:30:00	{'colsample_bytree': 0.960573727454259, 'gamma': 5.596123060820958, 'max_depth': 15.0, 'min_child_weight': 3.0, 'n_estimators': 200.0, 'reg_alpha': 133.0, 'reg_lambda': 0.833955543549164}	14.735691354685674	8812
fafb5cd4-505e-4821-959d-df674450509c	1615035894	WPWF	000:04:01	50	2021-03-06 11:30:00~2018-06-17 00:30:00	{'colsample_bytree': 0.9770949527829907, 'gamma': 1.5621724340023193, 'max_depth': 11.0, 'min_child_weight': 8.0, 'n_estimators': 200.0, 'reg_alpha': 83.0, 'reg_lambda': 0.2529379987470647}	10.513930206516433	8812
